TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
35,0.0512496970686,0.0739706220619,0.0700059489266,,2,2,1
35,0.0280120839757,0.0114956554372,0.0953234838009,,3,2,1
35,0.0309769521843,,,,4,2,1
36,,0.154923887176,0.183550221746,,1,2,1
36,,,0.0703169551669,,2,2,1
36,0.03736215807,0.131478779884,0.0946331936841,,3,2,1
36,0.0852091804388,0.0708750233255,,,4,2,1
37,,,0.18598920966,,1,2,1
37,,0.0307373346091,0.0706279614073,,2,2,1
37,,,0.0939429035673,,3,2,1
37,,,,,4,2,1
38,,0.518439660485,0.188428197575,,1,2,1
38,,0.166778092542,0.0709389676476,,2,2,1
38,,0.112764444786,0.0932526134505,,3,2,1
38,0.133515563001,0.157631069142,,,4,2,1
39,,,0.190867185489,,1,2,1
39,0.00147134613714,,0.0712499738879,,2,2,1
39,,,0.0925623233337,,3,2,1
39,,,,,4,2,1
40,,,0.193306173404,,1,2,1
40,,,0.0715609801283,,2,2,1
40,,,0.0918720332169,,3,2,1
40,,,,,4,2,1
41,,,0.195745161319,,1,2,1
41,,,0.0718719863686,,2,2,1
41,,,0.0911817431001,,3,2,1
41,,,,,4,2,1
42,,,0.198184149233,,1,2,1
42,,,0.0721829926089,,2,2,1
42,,,0.0904914529833,,3,2,1
42,0.0144547759928,,,,4,2,1
43,,,0.200623137148,,1,2,1
43,,,0.0724939988492,,2,2,1
43,0.0570808602429,,0.0898011628665,,3,2,1
43,0.111566594326,,,,4,2,1
44,,,0.203062125062,,1,2,1
44,,,0.0728050050896,,2,2,1
44,0.0177468673315,,0.0891108727497,,3,2,1
44,,,,,4,2,1
45,,,0.205501112977,,1,2,1
45,0.131436779379,,0.0731160113299,,2,2,1
45,,,0.0884205826329,,3,2,1
45,,,,,4,2,1
46,0.0753137824103,,0.207940100891,,1,2,1
46,,,0.0734270175702,,2,2,1
46,,,0.0877302925161,,3,2,1
46,0.130260349977,,,,4,2,1
47,0.0416532169405,,0.210379088806,,1,2,1
47,,,0.0737380238106,,2,2,1
47,0.146477338628,,0.0870400023993,,3,2,1
47,,,,,4,2,1
48,0.0141528765916,,0.212818076721,,1,2,1
48,,,0.0740490300509,,2,2,1
48,0.0435905545007,,0.0863497122825,,3,2,1
48,,,,,4,2,1
49,,,0.215257064635,,1,2,1
49,,,0.0743600362912,,2,2,1
49,0.0566693248264,,0.0856594221657,,3,2,1
49,0.0769612332098,,,,4,2,1
50,0.108381703758,,0.21769605255,,1,2,1
50,,,0.0746710425316,,2,2,1
50,,,0.0849691320489,,3,2,1
50,0.0244720060677,,,,4,2,1
51,,,0.220135040464,,1,2,1
51,0.165011006054,,0.0749820487719,,2,2,1
51,0.129823499296,,0.0842788419321,,3,2,1
51,0.317920332522,,,,4,2,1
52,0.326823603236,,0.222574028379,,1,2,1
52,,,0.0752930550122,,2,2,1
52,,,0.0835885518153,,3,2,1
52,,,,,4,2,1
53,,,0.225013016293,,1,2,1
53,0.0699420919286,,0.0756040612526,,2,2,1
53,0.613769333462,,0.0828982616985,,3,2,1
53,,,,,4,2,1
